"ASI1";"ASI2";"ASI3";"ASI4";"ASI5";"ASI6";"ASI7";"ASI8";"ASI9";"ASI10";"ASI11";"ASI12";"ASI13";"ASI14";"ASI15";"ASI16";"ASI17";"ASI18";"ASI19";"ASI20";"ASI21";"ASI22";"ASI";"HS";"BS"
3;4;5;2;2;5;3;4;5;3;2;5;3;2;1;1;4;3;4;4;2;3;70;25;45
2;5;1;2;4;5;2;4;4;4;2;2;1;1;1;2;1;1;1;1;1;2;49;25;24
5;3;5;5;5;5;5;4;5;3;5;5;1;4;5;5;5;1;5;2;1;5;89;42;47
4;5;5;5;5;3;2;5;5;4;4;5;2;3;4;4;4;4;4;5;1;4;87;41;46
3;5;4;5;4;4;5;1;3;1;3;3;1;3;3;4;3;4;1;1;1;3;65;38;27
1;4;3;1;2;5;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;35;18;17
3;4;5;3;3;4;3;5;5;3;4;5;3;3;1;4;3;3;5;2;2;4;77;33;44
4;5;5;4;3;2;4;4;5;5;3;4;4;2;3;1;5;5;5;2;3;3;81;38;43
3;1;5;1;1;2;2;3;3;3;3;4;4;3;3;4;4;3;3;4;5;5;69;29;40
3;3;5;1;3;4;4;4;5;3;3;3;1;1;1;3;2;3;3;1;3;4;63;28;35
2;4;5;4;2;1;5;1;5;3;4;2;1;4;1;2;2;5;4;2;2;3;64;36;28
1;1;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;14;15
3;3;3;3;3;5;2;3;4;2;3;3;1;1;1;2;3;3;3;1;3;2;57;26;31
1;1;4;3;1;5;1;3;1;1;1;1;1;1;1;1;1;4;1;1;1;1;36;16;20
3;4;5;3;4;3;4;3;3;2;2;3;3;2;2;4;3;5;4;3;3;3;71;35;36
4;5;3;4;4;3;4;3;4;3;4;5;3;3;3;2;1;4;4;4;4;3;77;40;37
4;5;3;2;3;5;3;3;5;4;3;5;4;4;4;4;3;4;4;4;3;4;83;39;44
3;2;5;5;5;5;5;5;3;4;5;5;2;3;3;4;4;4;4;3;4;4;87;44;43
